tweet_text,cyberbullying_type
"FYI the phrase is ""out your RABID mind"" dumb fucks smh niggers these days *walks off*",ethnicity
U are Still scared to call out Jihad Still scared to call out Pakistan Still scared to call out Islamic terrorism Only the platitudes - violence.. innocents &amp; bla bla . U r brushing the role of abv by calling it a Violence as if its some street brawl &amp; both sides r indulging,religion
"You can read Gibbon on Rome, Thucydides on Athens &amp; Sparta, Ibn Khaldun on the dynastic Muslim empires, or the Brook series on Imperial China - many explanations of rise, fall and change but one factorhaunts them all - at the time of collapse there's some 'effing idiot in charge!",religion
I was never bullied. But in gr11 the popular guy I had a crush on from day 1 of high school asked me to be his girlfriend. He took me to the volleyball wrap up party. One of the popular girls whipped a scotch glass at my head bc I wasn’t pretty/popular/good enough to be w/ him,age
My dream is for one of the girls who bullied me in jr high to follow me because they don’t know it’s me and then I’ll tweet “one of you is a girl who bullied me in jr high and don’t know it’s me. I’m funny now huh?” And then all the mean girls will sweat thinking it’s them.,age
what triggered this and also what does the black community have to do with anything controversial i've said in the past 24 hours (i'm assuming this is based off of my tweet saying kylie jenner is embarrassing),ethnicity
"RT @adam_jibali I'm not sexist, but this is why women should not be allowed to have an opinion on football... http://t.co/jR33ScWtcR",gender
"jelly??! RT“@tayyoung_: FUCK OBAMA, dumb ass nigger”",ethnicity
unpopular opinion : it's disrespectful to call a female a bitch .,gender
"Your mother wants to suck his dick tho. RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
Rape isn't something to joke with and rapist should be raped to death by gay thugs,gender
"Really, the ones successfully lobbying multiple State legislatures are fringe, radical Christians and not the ones with widespread support?",religion
they make jokes about rape &amp; sexual assault and jokes that would degrade women. they would imitate gay people and the trans community at times and they genuinely found it funny. they saw and still see no wrong in the things they do.,gender
"rape,gay,and suicide jokes are.not.funny don't make them cause it's rude and immature and disrespectful.. don't be immature",gender
girls who bullied me in high school are milks now and im imagination,age
RT @randi_ebooks: I checked the piano but I don't even fucking put men in here?,not_cyberbullying
@FarooqSumar @NafeezAhmed @MaxBlumenthal In fact the pedophile prophet clearly stated his intention in Hadiths. http://t.co/04XVHx5vVl,religion
RT @beadsland: What find truly astounding is number of thought pieces that fail recognize how offensive the segment was even without the tw…,not_cyberbullying
i wait for the day i dont have to threaten to disembowel people for using gay as an insult or tell rape jokes as if they are funny,gender
"To be fair, those gay jokes were painfully unfunny. That's all I got on ""problematic stuff"", unless they are talking about dealing with stuff like rape, emotional abuse, prostitution, crippling anxiety and depression, forced marriage, bad lawyers, corrupt politicians and...",gender
"I was a fat girl with thick glasses, who didn't give give a darn about sports, high school spirit, fashion, or drama. For me it was four years of hell where I was ostracized, bullied, and picked on. The only saving graces were my choir classes, operetta-musical theater, 1/2",age
@mpinthemorning @friendlyjordies you’re both good sports. I look forward to Prawn and Buzz in the morning. Next week can we nut out why all sensible labour voters are labeled “lefties” like the school yard bully calling someone a loser. Attaching a stigma and false,age
RT @theleast: @freebsdgirl @khaxan http://t.co/GPImWC8fpw,other_cyberbullying
"I think this is spam. I'm not sure what I'm reading, but it's funny. // @TheQuinnspiracy http://t.co/2bCOvCr7nG http://t.co/NB7ba4jmWt",other_cyberbullying
@Nick_d_Williams I know Putin. Why would I spend 5 seconds looking at his propaganda?,not_cyberbullying
that blonde cheerleader looks just like a girl who used to bully me in elementary school ldfjsldjf,age
Headed Back to the Valley which means Back to Reality,not_cyberbullying
"I used to be so problematic when I was younger, making rape jokes, gay jokes..... someone needed to stop me seriously I hate it so much",gender
@danieltosh it says alot about a person when you google their name and daniel tosh gay immediately pops up... btw rape jokes are still funny,gender
Are ppl so high that they use #IslamophobiaInIndia for India. You need to know a lot bro.Ok born illiterate is common butyou idiots always wanna stay illiterate. A-around 300000 mosques B-with 10.9%[172000000]of worlds Muslim population makes 3rd largest.#MuslimloveIndia #India,religion
